temp,DATE,YEAR,TIME
25.5341234189911,2011-01-12,2011,12
25.728251958223552,2011-01-13,2011,13
26.969691679999016,2011-01-14,2011,14
27.311610662299984,2011-01-15,2011,15
27.427526111946634,2011-01-16,2011,16
26.960213433056367,2011-01-17,2011,17
25.787859600107254,2011-01-18,2011,18
25.879623072359323,2011-01-19,2011,19
26.727469813687208,2011-01-20,2011,20
25.98254981323265,2011-01-21,2011,21
24.70965635345499,2011-01-22,2011,22
26.949190582908273,2011-01-23,2011,23
26.941046311461264,2011-01-24,2011,24
26.771420795806364,2011-01-25,2011,25
27.921026836093176,2011-01-26,2011,26
27.691442632371547,2011-01-27,2011,27
26.726627302847874,2011-01-28,2011,28
26.6574009955483,2011-01-29,2011,29
26.570973425278794,2011-01-30,2011,30
27.028175974096882,2011-01-31,2011,31
26.98106557633014,2011-02-01,2011,32
24.276675991268064,2011-02-02,2011,33
26.07866625815467,2011-02-03,2011,34
25.616759690483548,2011-02-04,2011,35
26.68576552713961,2011-02-05,2011,36
25.655234352146977,2011-02-06,2011,37
25.754440003479885,2011-02-07,2011,38
25.18792167325671,2011-02-08,2011,39
23.5883446355229,2011-02-09,2011,40
22.221651635631474,2011-02-10,2011,41
23.954556013691672,2011-02-11,2011,42
23.005397343932486,2011-02-12,2011,43
24.160971169331333,2011-02-13,2011,44
23.60912656956009,2011-02-14,2011,45
22.9544254381521,2011-02-15,2011,46
24.950965499690824,2011-02-16,2011,47
25.45731451413741,2011-02-17,2011,48
26.42662323480431,2011-02-18,2011,49
25.112376534662076,2011-02-19,2011,50
26.041736199696686,2011-02-20,2011,51
25.765322435154758,2011-02-21,2011,52
24.167921883755923,2011-02-22,2011,53
25.706557304110447,2011-02-23,2011,54
25.202384775998837,2011-02-24,2011,55
23.470252699541334,2011-02-25,2011,56
23.336925359214888,2011-02-26,2011,57
23.070902561691582,2011-02-27,2011,58
24.689716930257134,2011-02-28,2011,59
23.90337348020148,2011-03-01,2011,60
23.261520639093476,2011-03-02,2011,61
23.34485900295209,2011-03-03,2011,62
22.28315492690365,2011-03-04,2011,63
23.12566576624903,2011-03-05,2011,64
22.32766758291575,2011-03-06,2011,65
23.43332264108335,2011-03-07,2011,66
23.76414856399964,2011-03-08,2011,67
24.556249171457523,2011-03-09,2011,68
25.199506197297694,2011-03-10,2011,69
23.57009023400377,2011-03-11,2011,70
24.250277318301926,2011-03-12,2011,71
24.810757654176427,2011-03-13,2011,72
21.437976136566988,2011-03-14,2011,73
22.217228453724886,2011-03-15,2011,74
25.499650683814536,2011-03-16,2011,75
24.968868855026926,2011-03-17,2011,76
24.585596632361387,2011-03-18,2011,77
21.98968031786501,2011-03-19,2011,78
23.159155572113036,2011-03-20,2011,79
23.132476062200396,2011-03-21,2011,80
23.498827858842446,2011-03-22,2011,81
24.27204218165167,2011-03-23,2011,82
24.348008575665972,2011-03-24,2011,83
25.52366224273584,2011-03-25,2011,84
26.040332014964406,2011-03-26,2011,85
24.88960262689187,2011-03-27,2011,86
24.46813657950935,2011-03-27,2011,87
22.863574685976005,2011-03-28,2011,88
22.746676307016855,2011-03-29,2011,89
23.205985132933336,2011-03-30,2011,90
22.863434267502782,2011-03-31,2011,91
22.101804468734542,2011-04-01,2011,92
22.899100559701765,2011-04-02,2011,93
22.225232306698672,2011-04-03,2011,94
22.139717456505082,2011-04-04,2011,95
20.12443152879092,2011-04-05,2011,96
19.441085028845237,2011-04-06,2011,97
21.773084822916644,2011-04-07,2011,98
20.877566009929126,2011-04-08,2011,99
19.219574887333977,2011-04-09,2011,100
21.06755220420149,2011-04-10,2011,101
20.717839996636542,2011-04-11,2011,102
21.289343182659138,2011-04-12,2011,103
23.683478151132306,2011-04-13,2011,104
21.289904856552084,2011-04-14,2011,105
24.064152632043204,2011-04-15,2011,106
24.57934801030291,2011-04-16,2011,107
24.27344636638395,2011-04-17,2011,108
