Name,Description,datetime,temp,DATE,YEAR,WEEK,TIME
SAO JOAO DO TAUAPE,,2011030412,26.99331709996062,2011-03-04,2011,9,63
SAO JOAO DO TAUAPE,,2011030512,26.92013328670646,2011-03-05,2011,10,64
SAO JOAO DO TAUAPE,,2011030612,26.663334842244353,2011-03-06,2011,10,65
SAO JOAO DO TAUAPE,,2011030712,25.890131945689575,2011-03-07,2011,10,66
SAO JOAO DO TAUAPE,,2011030812,25.316733961280192,2011-03-08,2011,10,67
SAO JOAO DO TAUAPE,,2011030912,24.33333816885738,2011-03-09,2011,10,68
SAO JOAO DO TAUAPE,,2011031012,26.032943325518033,2011-03-10,2011,10,69
SAO JOAO DO TAUAPE,,2011031112,25.94057449728041,2011-03-11,2011,10,70
SAO JOAO DO TAUAPE,,2011031212,25.600859353913904,2011-03-12,2011,11,71
SAO JOAO DO TAUAPE,,2011031312,25.297174604540828,2011-03-13,2011,11,72
SAO JOAO DO TAUAPE,,2011031412,26.063732934930613,2011-03-14,2011,11,73
SAO JOAO DO TAUAPE,,2011031512,25.979225283564233,2011-03-15,2011,11,74
SAO JOAO DO TAUAPE,,2011031612,26.565725229425766,2011-03-16,2011,11,75
SAO JOAO DO TAUAPE,,2011031712,26.56057803028392,2011-03-17,2011,11,76
SAO JOAO DO TAUAPE,,2011031812,27.391710313544934,2011-03-18,2011,11,77
SAO JOAO DO TAUAPE,,2011031912,27.638588701479023,2011-03-19,2011,12,78
SAO JOAO DO TAUAPE,,2011032012,27.729460162693613,2011-03-20,2011,12,79
SAO JOAO DO TAUAPE,,2011032112,27.220636131155402,2011-03-21,2011,12,80
SAO JOAO DO TAUAPE,,2011032212,27.00520245070652,2011-03-22,2011,12,81
SAO JOAO DO TAUAPE,,2011032312,28.303981172370356,2011-03-23,2011,12,82
SAO JOAO DO TAUAPE,,2011032412,26.391375556673268,2011-03-24,2011,12,83
SAO JOAO DO TAUAPE,,2011032512,23.977151988236756,2011-03-25,2011,12,84
SAO JOAO DO TAUAPE,,2011032612,27.57860043511596,2011-03-26,2011,13,85
SAO JOAO DO TAUAPE,,2011032712,25.736932582138365,2011-03-27,2011,13,86
SAO JOAO DO TAUAPE,,2011032812,26.41851533396698,2011-03-27,2011,13,87
SAO JOAO DO TAUAPE,,2011032912,26.780223055485294,2011-03-28,2011,13,88
SAO JOAO DO TAUAPE,,2011033012,26.7827498623368,2011-03-29,2011,13,89
SAO JOAO DO TAUAPE,,2011033112,27.852992942099604,2011-03-30,2011,13,90
SAO JOAO DO TAUAPE,,2011040112,26.398862391788782,2011-03-31,2011,13,91
SAO JOAO DO TAUAPE,,2011040212,27.031312788171874,2011-04-01,2011,13,92
SAO JOAO DO TAUAPE,,2011040312,26.814943253333468,2011-04-02,2011,14,93
SAO JOAO DO TAUAPE,,2011040412,26.89177689870644,2011-04-03,2011,14,94
SAO JOAO DO TAUAPE,,2011040512,27.299154314429416,2011-04-04,2011,14,95
SAO JOAO DO TAUAPE,,2011040612,26.917606479854953,2011-04-05,2011,14,96
SAO JOAO DO TAUAPE,,2011040712,27.76988907231737,2011-04-06,2011,14,97
SAO JOAO DO TAUAPE,,2011040812,26.78162683706944,2011-04-07,2011,14,98
SAO JOAO DO TAUAPE,,2011040912,25.952085506270464,2011-04-08,2011,14,99
SAO JOAO DO TAUAPE,,2011041012,25.96340934438274,2011-04-09,2011,15,100
SAO JOAO DO TAUAPE,,2011041112,25.643534314072326,2011-04-10,2011,15,101
SAO JOAO DO TAUAPE,,2011041212,25.200220089794925,2011-04-11,2011,15,102
SAO JOAO DO TAUAPE,,2011041312,25.877965838626892,2011-04-12,2011,15,103
SAO JOAO DO TAUAPE,,2011041412,26.650139295353256,2011-04-13,2011,15,104
SAO JOAO DO TAUAPE,,2011041512,27.432607150363424,2011-04-14,2011,15,105
SAO JOAO DO TAUAPE,,2011041612,26.301159193531362,2011-04-15,2011,15,106
SAO JOAO DO TAUAPE,,2011041712,25.80085143693708,2011-04-16,2011,16,107
SAO JOAO DO TAUAPE,,2011041812,26.189137423115426,2011-04-17,2011,16,108
SAO JOAO DO TAUAPE,,2011041912,25.42922365889075,2011-04-18,2011,16,109
SAO JOAO DO TAUAPE,,2011042012,26.620566296646984,2011-04-19,2011,16,110
SAO JOAO DO TAUAPE,,2011042112,25.201436700501176,2011-04-20,2011,16,111
SAO JOAO DO TAUAPE,,2011042212,25.80543712344536,2011-04-21,2011,16,112
SAO JOAO DO TAUAPE,,2011042312,26.129991425702883,2011-04-22,2011,16,113
SAO JOAO DO TAUAPE,,2011042412,25.091567395181073,2011-04-23,2011,17,114
SAO JOAO DO TAUAPE,,2011042512,24.456590191946475,2011-04-24,2011,17,115
SAO JOAO DO TAUAPE,,2011042612,27.133320916620733,2011-04-25,2011,17,116
SAO JOAO DO TAUAPE,,2011042712,27.307764174812235,2011-04-26,2011,17,117
SAO JOAO DO TAUAPE,,2011042812,27.284929327709904,2011-04-27,2011,17,118
SAO JOAO DO TAUAPE,,2011042912,27.05985634704973,2011-04-28,2011,17,119
SAO JOAO DO TAUAPE,,2011043012,26.312108689887737,2011-04-29,2011,17,120
SAO JOAO DO TAUAPE,,2011050112,27.098226377016772,2011-04-30,2011,18,121
SAO JOAO DO TAUAPE,,2011050212,26.83403468287804,2011-05-01,2011,18,122
SAO JOAO DO TAUAPE,,2011050312,26.782375520581013,2011-05-02,2011,18,123
SAO JOAO DO TAUAPE,,2011050412,26.513691725373008,2011-05-03,2011,18,124
SAO JOAO DO TAUAPE,,2011050512,24.34999637698934,2011-05-04,2011,18,125
SAO JOAO DO TAUAPE,,2011050612,26.68083531932689,2011-05-05,2011,18,126
SAO JOAO DO TAUAPE,,2011050712,27.743497978535174,2011-05-06,2011,18,127
SAO JOAO DO TAUAPE,,2011050812,27.455722753782595,2011-05-07,2011,19,128
SAO JOAO DO TAUAPE,,2011050912,27.573172479657217,2011-05-08,2011,19,129
SAO JOAO DO TAUAPE,,2011051012,26.63413618529387,2011-05-09,2011,19,130
SAO JOAO DO TAUAPE,,2011051112,25.638574285808318,2011-05-10,2011,19,131
SAO JOAO DO TAUAPE,,2011051212,25.66150271834954,2011-05-11,2011,19,132
SAO JOAO DO TAUAPE,,2011051312,26.77245546405294,2011-05-12,2011,19,133
SAO JOAO DO TAUAPE,,2011051412,26.626930106495138,2011-05-13,2011,19,134
SAO JOAO DO TAUAPE,,2011051512,26.04866567926058,2011-05-14,2011,20,135
SAO JOAO DO TAUAPE,,2011051612,26.38454381963038,2011-05-15,2011,20,136
SAO JOAO DO TAUAPE,,2011051712,27.006138305095988,2011-05-16,2011,20,137
